Part,Word,Meaning,Example Term
Prefix,A,"No, not, without",Atypical
Prefix,Ab,Away from,Abduction
Root,Abdomin,Abdomen,Abdominocentesis
Suffix,ac,Pertaining to,Cardiac
Root,Acou,Hearing,Acouesthesia
Prefix,Ad,Toward,Adduction
Suffix,algia,Pain,Myalgia
Suffix,amnios,"Amnion, amniotic fluid",Oligohydramnios
Prefix,An,"No, not, without",Anoxia
Root,Angi,Blood vessels,Lymphangitis
Prefix,Ante,Before,Antepartum
Prefix,Anti,"Against, opposite of",Antipsychotic
Root,Aort,Aorta,Aortography
Suffix,apheresis,Removal,Plasmapheresis
Suffix,ar,Pertaining to,Appendicular
Suffix,ary,Pertaining to,Coronary
Suffix,asthenia,Weakness,Myasthenia gravis
Root,Athro,Join,Artroscope
Root,Audio,Hearing,Audiology
Root,Aur,Ear,Auricular Cartilage
Root,Axill,Armpit,Axillary Lymph Node
Root,Bar,Pressure,Barotrauma
Prefix,Bi,"Two, double",Biceps
Suffix,blast,Immature cell or germ,Myeloblast
Root,Blephar,Eyelid,Blepharoplasty
Root,Brachi,Arm,Brachial Artery
Prefix,Brady,Slow,Bradycardia
Root,Bronch,Bronchus,Bronchospasm
Root,Bronchiol,Bronchiole,Bronchiolitis
Root,Calc,Calcium,Calcification
Root,Cancer,Cancer,Cancerous
Root,Carcin,Cancer,Adenocarcinoma
Root,Cardi,Hart,Myocarditis
Root,Carp,Wrist,Radiocarpal
Root,Celi,Abdomen,Celiac Artery
Suffix,centesis,Surgical puncture to remove fluid,Thoracentesis
Root,Cerebr,"Cerebrum, brain",Cerebroside
Root,Cheil,Lip,Cheiloplasty
Root,Chol,"Gall, Bile",Cholesterol
Root,Chrom,Color,Chromogen
Root,Colo,Large Intestine,Colorectal
Root,Coni,Dust,Coniophage
Root,Cor,Pupil,Corometer
Root,Coron,Heart,Coronary Artery
Root,Cost,Rib,Costophrenic Angle
Root,Crani,Skull,Craniotomy
Root,Cry,Cold,Cryosurgery
Root,Crypt,Hidden,Cryptorchism
Root,Cutane,Skin,Cutaneous Lymphoma
Root,Cyt,Cell,Cytology
Root,Dactyl,Fingers or toes,Polydactyly
Prefix,De,"Away from, down",Dehydrate
Root,Dent,Tooth,Dentine
Root,Dento,Tooth,Denture
Root,Derm,Skin,Epidermal
Suffix,desis,Surgical binding,Pleurodesis
Root,Dextr,Right,Dextrocardia
Prefix,Dia,"Through, complete",Dialysis
Prefix,Diplo,Double,Diploid
Root,Dors,Back,Dorsolateral
Suffix,drome,"Run, running",Syndrome
Prefix,Dys,"Abnormal, difficult, painful",Dysphagia
Suffix,eal,Pertaining to,Esophageal
Root,Ech,Sound,Echography
Suffix,ectasis,"Expansion, dilation, stretching out",Bronchiectasis
Suffix,ectomy,"Surgical removal of a body part, excision",Mastectomy
Root,Embry,"Embryo, to be full",Polyembryoma
Suffix,emesis,Vomiting,Hematemesis
Suffix,emia,Blood condition,Anemia
Root,Emmetr,A normal measure,Emmetropia
Root,Encephal,Brain,Anencephaly
Prefix,Endo,"Within, inner",Endotracheal
Prefix,Epi,"Upon, over, above",Epidermis
Root,Episi,Vulva,Episiotomy
Suffix,esis,Condition,Diuresis
Root,Esoph,Esophagus,Esophagitis
Root,Eti,Cause of disease,Etiology
Prefix,Eu,"Normal, good",Eupnea
Root,Faci,Face,Facioplasty
Root,Fet,"Fetus, unborn child",Fetoplacental Relation
Root,Galact,Milk,Galactose
Root,Gastr,Stomach,Epigastric
Suffix,gen,Substance or agent that produces or causes,Teratogen
Suffix,genic,"Producing, originating, causing",Carcinogenic
Root,Gingiv,Gum,Gingivitis
Root,Gloss,Tongue,Macroglossia
Root,Glyc,Sugar,Hypoglycemia
Root,Gnath,Jaw,Prognathous
Suffix,gram,"Record, picture",Electrocardiogram
Suffix,graph,Instrument used to create a record or picture,Electrocardiograph
Suffix,graphy,To record or take a picture,Echocardiography
Root,Gyn,Woman,Gynecology
Root,Hem,Blood,Hemorrhoid
Root,Hemat,Blood,Hematology
Prefix,Hemi,Half,Hemicolectomy
Root,Hepat,Liver,Hepatitis
Prefix,Hetero,"Other, different",Heterogeneous
Root,Hidr,Sweat,Hidradenoma
Root,Hist,Tissue,Histamine
Prefix,Homo,Same,Homozygous genotype
Root,Humer,Humerus,Humeroscapular
Prefix,Hyper,"Excessive, above normal",Hypertension
Root,Hypn,Sleep,Hypnotism
Prefix,Hypo,"Below normal, deficient",Hypotension
Root,Hyster,Uterus,Hysterectomy
Suffix,ia,Condition,Hemophilia
Suffix,iasis,"Condition, formation of",Psoriasis
Suffix,iatrist,Specialist,Psychiatrist
Suffix,iatry,"Specialty, treatment",Psychiatry
Root,Ichthy,Fish,Ichthyoid
Suffix,ictal,"Seizure, attack",Postical
Root,Ile,Ileum,Ileocecal Valve
Root,Ile,Small Intestine,Ileitis
Root,Ili,Ilium,Iliac Artery
Prefix,Inter,"Between, among",Intercostal
Prefix,Intra,"Within, inside",Intramuscular
Root,Iri,Iris,Iritis
Root,Irid,Iris,Iridocyclitis
Root,Isch,"Deficiency, blockage",Ischophonia
Root,Ischi,Ischium,Ischiatic Nerve
Suffix,ism,"Condition, state of",Hypothyroidism
Prefix,Iso,"Equal, like",Isointense
Suffix,itis,Inflammation,Arthritiss
Suffix,ity,Pertaining to,Immunity
Suffix,ium,Structure or tissue,Epithelium
Prefix,Juxta,"Next to, beside, adjacent",Juxtaposition
Root,Kal,Potassium,Hyperkalemia
Root,Kary,Nucleus,Megakaryocyte
Root,Kerat,Cornea,Keratoplasty
Root,Kerat,"Horny tissue, hard",Keratosis
Root,Kin,Movement,Kinetics
Root,Labi,Lips,Labiodental
Root,Lacrim,"Tear duct, tear",Nasolacrimal
Root,Lact,Milk,Lactoferrin
Root,Leuk,White,Leukemia
Root,Lingu,Tongue,Linguistics
Root,Lip,Fat,Lipectomy
